question=['athens' 'greece' 'bangkok' 'thailand'], predicted=thailand
question=['kathmandu' 'nepal' 'nouakchott' 'mauritania'], predicted=mauritania
question=['kathmandu' 'nepal' 'oslo' 'norway'], predicted=norway
question=['kathmandu' 'nepal' 'paris' 'france'], predicted=france
question=['kathmandu' 'nepal' 'podgorica' 'montenegro'], predicted=montenegro
question=['kathmandu' 'nepal' 'riga' 'latvia'], predicted=latvia
question=['khartoum' 'sudan' 'kiev' 'ukraine'], predicted=ukraine
question=['khartoum' 'sudan' 'kingston' 'jamaica'], predicted=jamaica
question=['khartoum' 'sudan' 'libreville' 'gabon'], predicted=gabon
question=['khartoum' 'sudan' 'lima' 'peru'], predicted=peru
question=['khartoum' 'sudan' 'lisbon' 'portugal'], predicted=portugal
question=['khartoum' 'sudan' 'ljubljana' 'slovenia'], predicted=slovenia
question=['khartoum' 'sudan' 'madrid' 'spain'], predicted=spain
question=['khartoum' 'sudan' 'manila' 'philippines'], predicted=philippines
question=['khartoum' 'sudan' 'monrovia' 'liberia'], predicted=liberia
question=['khartoum' 'sudan' 'nairobi' 'kenya'], predicted=kenya
question=['khartoum' 'sudan' 'oslo' 'norway'], predicted=norway
question=['khartoum' 'sudan' 'paris' 'france'], predicted=france
question=['khartoum' 'sudan' 'quito' 'ecuador'], predicted=ecuador
question=['khartoum' 'sudan' 'riga' 'latvia'], predicted=latvia
question=['khartoum' 'sudan' 'rome' 'italy'], predicted=italy
question=['kiev' 'ukraine' 'kingston' 'jamaica'], predicted=jamaica
question=['kiev' 'ukraine' 'ljubljana' 'slovenia'], predicted=slovenia
question=['kiev' 'ukraine' 'luanda' 'angola'], predicted=angola
question=['kiev' 'ukraine' 'lusaka' 'zambia'], predicted=zambia
question=['kiev' 'ukraine' 'madrid' 'spain'], predicted=spain
question=['kiev' 'ukraine' 'manama' 'bahrain'], predicted=bahrain
question=['kiev' 'ukraine' 'manila' 'philippines'], predicted=philippines
question=['kiev' 'ukraine' 'minsk' 'belarus'], predicted=belarus
question=['kiev' 'ukraine' 'mogadishu' 'somalia'], predicted=somalia
question=['kiev' 'ukraine' 'nairobi' 'kenya'], predicted=kenya
question=['kiev' 'ukraine' 'paris' 'france'], predicted=france
question=['kiev' 'ukraine' 'podgorica' 'montenegro'], predicted=montenegro
question=['kiev' 'ukraine' 'quito' 'ecuador'], predicted=ecuador
question=['kiev' 'ukraine' 'riga' 'latvia'], predicted=latvia
question=['kiev' 'ukraine' 'skopje' 'macedonia'], predicted=macedonia
question=['kingston' 'jamaica' 'lisbon' 'portugal'], predicted=portugal
question=['kingston' 'jamaica' 'ljubljana' 'slovenia'], predicted=slovenia
question=['kingston' 'jamaica' 'luanda' 'angola'], predicted=angola
question=['kingston' 'jamaica' 'madrid' 'spain'], predicted=spain
question=['kingston' 'jamaica' 'manama' 'bahrain'], predicted=bahrain
question=['kingston' 'jamaica' 'manila' 'philippines'], predicted=philippines
question=['kingston' 'jamaica' 'monrovia' 'liberia'], predicted=liberia
question=['kingston' 'jamaica' 'nairobi' 'kenya'], predicted=kenya
question=['kingston' 'jamaica' 'nassau' 'bahamas'], predicted=bahamas
question=['kingston' 'jamaica' 'nicosia' 'cyprus'], predicted=cyprus
question=['kingston' 'jamaica' 'paris' 'france'], predicted=france
question=['kingston' 'jamaica' 'podgorica' 'montenegro'], predicted=montenegro
question=['kingston' 'jamaica' 'quito' 'ecuador'], predicted=ecuador
question=['kingston' 'jamaica' 'riga' 'latvia'], predicted=latvia
question=['kingston' 'jamaica' 'rome' 'italy'], predicted=italy
question=['kingston' 'jamaica' 'skopje' 'macedonia'], predicted=macedonia
question=['kingston' 'jamaica' 'sofia' 'bulgaria'], predicted=bulgaria
question=['kingston' 'jamaica' 'stockholm' 'sweden'], predicted=sweden
question=['libreville' 'gabon' 'moscow' 'russia'], predicted=russia
question=['libreville' 'gabon' 'nairobi' 'kenya'], predicted=kenya
question=['libreville' 'gabon' 'ottawa' 'canada'], predicted=canada
question=['libreville' 'gabon' 'skopje' 'macedonia'], predicted=macedonia
question=['libreville' 'gabon' 'stockholm' 'sweden'], predicted=sweden
question=['libreville' 'gabon' 'suva' 'fiji'], predicted=fiji
question=['lilongwe' 'malawi' 'lima' 'peru'], predicted=peru
question=['lilongwe' 'malawi' 'london' 'england'], predicted=england
question=['lilongwe' 'malawi' 'madrid' 'spain'], predicted=spain
question=['lilongwe' 'malawi' 'manila' 'philippines'], predicted=philippines
question=['lilongwe' 'malawi' 'maputo' 'mozambique'], predicted=mozambique
question=['lilongwe' 'malawi' 'monrovia' 'liberia'], predicted=liberia
question=['lilongwe' 'malawi' 'nairobi' 'kenya'], predicted=kenya
question=['lilongwe' 'malawi' 'nicosia' 'cyprus'], predicted=cyprus
question=['lilongwe' 'malawi' 'nouakchott' 'mauritania'], predicted=mauritania
question=['lilongwe' 'malawi' 'nuuk' 'greenland'], predicted=greenland
question=['lilongwe' 'malawi' 'paris' 'france'], predicted=france
question=['lilongwe' 'malawi' 'podgorica' 'montenegro'], predicted=montenegro
question=['lilongwe' 'malawi' 'quito' 'ecuador'], predicted=ecuador
question=['lilongwe' 'malawi' 'riga' 'latvia'], predicted=latvia
question=['lilongwe' 'malawi' 'rome' 'italy'], predicted=italy
question=['lilongwe' 'malawi' 'skopje' 'macedonia'], predicted=macedonia
question=['lilongwe' 'malawi' 'sofia' 'bulgaria'], predicted=bulgaria
question=['lilongwe' 'malawi' 'taipei' 'taiwan'], predicted=taiwan
question=['lima' 'peru' 'lisbon' 'portugal'], predicted=portugal
question=['lima' 'peru' 'london' 'england'], predicted=england
question=['lima' 'peru' 'madrid' 'spain'], predicted=spain
question=['lima' 'peru' 'managua' 'nicaragua'], predicted=nicaragua
question=['lima' 'peru' 'manama' 'bahrain'], predicted=bahrain
question=['lima' 'peru' 'manila' 'philippines'], predicted=philippines
question=['lima' 'peru' 'monrovia' 'liberia'], predicted=liberia
question=['lima' 'peru' 'montevideo' 'uruguay'], predicted=uruguay
question=['lima' 'peru' 'moscow' 'russia'], predicted=russia
question=['lima' 'peru' 'muscat' 'oman'], predicted=oman
question=['lima' 'peru' 'oslo' 'norway'], predicted=norway
question=['lima' 'peru' 'ottawa' 'canada'], predicted=canada
question=['lima' 'peru' 'paris' 'france'], predicted=france
question=['lima' 'peru' 'podgorica' 'montenegro'], predicted=montenegro
question=['lima' 'peru' 'quito' 'ecuador'], predicted=ecuador
question=['lima' 'peru' 'sofia' 'bulgaria'], predicted=bulgaria
question=['lima' 'peru' 'stockholm' 'sweden'], predicted=sweden
question=['lima' 'peru' 'suva' 'fiji'], predicted=fiji
question=['lima' 'peru' 'taipei' 'taiwan'], predicted=taiwan
question=['lima' 'peru' 'tallinn' 'estonia'], predicted=estonia
question=['lisbon' 'portugal' 'ljubljana' 'slovenia'], predicted=slovenia
question=['lisbon' 'portugal' 'london' 'england'], predicted=england
question=['lisbon' 'portugal' 'madrid' 'spain'], predicted=spain
question=['lisbon' 'portugal' 'manila' 'philippines'], predicted=philippines
question=['lisbon' 'portugal' 'montevideo' 'uruguay'], predicted=uruguay
question=['lisbon' 'portugal' 'moscow' 'russia'], predicted=russia
question=['lisbon' 'portugal' 'nairobi' 'kenya'], predicted=kenya
question=['lisbon' 'portugal' 'oslo' 'norway'], predicted=norway
question=['lisbon' 'portugal' 'ottawa' 'canada'], predicted=canada
question=['lisbon' 'portugal' 'paris' 'france'], predicted=france
question=['lisbon' 'portugal' 'rome' 'italy'], predicted=italy
question=['lisbon' 'portugal' 'stockholm' 'sweden'], predicted=sweden
question=['lisbon' 'portugal' 'taipei' 'taiwan'], predicted=taiwan
question=['lisbon' 'portugal' 'tallinn' 'estonia'], predicted=estonia
question=['ljubljana' 'slovenia' 'madrid' 'spain'], predicted=spain
question=['ljubljana' 'slovenia' 'manama' 'bahrain'], predicted=bahrain
question=['ljubljana' 'slovenia' 'manila' 'philippines'], predicted=philippines
question=['ljubljana' 'slovenia' 'mogadishu' 'somalia'], predicted=somalia
question=['ljubljana' 'slovenia' 'moscow' 'russia'], predicted=russia
question=['ljubljana' 'slovenia' 'nairobi' 'kenya'], predicted=kenya
question=['ljubljana' 'slovenia' 'nicosia' 'cyprus'], predicted=cyprus
question=['ljubljana' 'slovenia' 'ottawa' 'canada'], predicted=canada
question=['ljubljana' 'slovenia' 'paris' 'france'], predicted=france
question=['ljubljana' 'slovenia' 'podgorica' 'montenegro'], predicted=montenegro
question=['ljubljana' 'slovenia' 'quito' 'ecuador'], predicted=ecuador
question=['ljubljana' 'slovenia' 'rabat' 'morocco'], predicted=morocco
question=['ljubljana' 'slovenia' 'riga' 'latvia'], predicted=latvia
question=['ljubljana' 'slovenia' 'rome' 'italy'], predicted=italy
question=['ljubljana' 'slovenia' 'santiago' 'chile'], predicted=chile
question=['ljubljana' 'slovenia' 'stockholm' 'sweden'], predicted=sweden
question=['ljubljana' 'slovenia' 'suva' 'fiji'], predicted=fiji
question=['ljubljana' 'slovenia' 'taipei' 'taiwan'], predicted=taiwan
question=['ljubljana' 'slovenia' 'tallinn' 'estonia'], predicted=estonia
question=['ljubljana' 'slovenia' 'tashkent' 'uzbekistan'], predicted=uzbekistan
question=['london' 'england' 'madrid' 'spain'], predicted=spain
question=['london' 'england' 'manila' 'philippines'], predicted=philippines
question=['london' 'england' 'montevideo' 'uruguay'], predicted=uruguay
question=['london' 'england' 'moscow' 'russia'], predicted=russia
question=['london' 'england' 'nairobi' 'kenya'], predicted=kenya
question=['london' 'england' 'oslo' 'norway'], predicted=norway
question=['london' 'england' 'ottawa' 'canada'], predicted=canada
question=['london' 'england' 'paris' 'france'], predicted=france
question=['london' 'england' 'stockholm' 'sweden'], predicted=sweden
question=['london' 'england' 'taipei' 'taiwan'], predicted=taiwan
question=['luanda' 'angola' 'manila' 'philippines'], predicted=philippines
question=['luanda' 'angola' 'maputo' 'mozambique'], predicted=mozambique
question=['luanda' 'angola' 'monrovia' 'liberia'], predicted=liberia
question=['luanda' 'angola' 'montevideo' 'uruguay'], predicted=uruguay
question=['luanda' 'angola' 'nairobi' 'kenya'], predicted=kenya
question=['luanda' 'angola' 'ottawa' 'canada'], predicted=canada
question=['luanda' 'angola' 'paris' 'france'], predicted=france
question=['luanda' 'angola' 'podgorica' 'montenegro'], predicted=montenegro
question=['luanda' 'angola' 'quito' 'ecuador'], predicted=ecuador
question=['luanda' 'angola' 'riga' 'latvia'], predicted=latvia
question=['luanda' 'angola' 'rome' 'italy'], predicted=italy
question=['luanda' 'angola' 'santiago' 'chile'], predicted=chile
question=['luanda' 'angola' 'sofia' 'bulgaria'], predicted=bulgaria
question=['luanda' 'angola' 'stockholm' 'sweden'], predicted=sweden
question=['luanda' 'angola' 'taipei' 'taiwan'], predicted=taiwan
question=['luanda' 'angola' 'tallinn' 'estonia'], predicted=estonia
question=['lusaka' 'zambia' 'madrid' 'spain'], predicted=spain
question=['lusaka' 'zambia' 'manila' 'philippines'], predicted=philippines
question=['lusaka' 'zambia' 'moscow' 'russia'], predicted=russia
question=['lusaka' 'zambia' 'nairobi' 'kenya'], predicted=kenya
question=['lusaka' 'zambia' 'oslo' 'norway'], predicted=norway
question=['lusaka' 'zambia' 'podgorica' 'montenegro'], predicted=montenegro
question=['lusaka' 'zambia' 'quito' 'ecuador'], predicted=ecuador
question=['lusaka' 'zambia' 'riga' 'latvia'], predicted=latvia
question=['lusaka' 'zambia' 'skopje' 'macedonia'], predicted=macedonia
question=['lusaka' 'zambia' 'sofia' 'bulgaria'], predicted=bulgaria
question=['lusaka' 'zambia' 'stockholm' 'sweden'], predicted=sweden
question=['lusaka' 'zambia' 'suva' 'fiji'], predicted=fiji
question=['lusaka' 'zambia' 'taipei' 'taiwan'], predicted=taiwan
question=['lusaka' 'zambia' 'tallinn' 'estonia'], predicted=estonia
question=['lusaka' 'zambia' 'tashkent' 'uzbekistan'], predicted=uzbekistan
question=['lusaka' 'zambia' 'tehran' 'iran'], predicted=iran
question=['madrid' 'spain' 'manila' 'philippines'], predicted=philippines
question=['madrid' 'spain' 'montevideo' 'uruguay'], predicted=uruguay
question=['madrid' 'spain' 'moscow' 'russia'], predicted=russia
question=['madrid' 'spain' 'nicosia' 'cyprus'], predicted=cyprus
question=['madrid' 'spain' 'oslo' 'norway'], predicted=norway
question=['madrid' 'spain' 'ottawa' 'canada'], predicted=canada
question=['madrid' 'spain' 'paris' 'france'], predicted=france
question=['madrid' 'spain' 'rome' 'italy'], predicted=italy
question=['madrid' 'spain' 'stockholm' 'sweden'], predicted=sweden
question=['madrid' 'spain' 'suva' 'fiji'], predicted=fiji
question=['madrid' 'spain' 'taipei' 'taiwan'], predicted=taiwan
question=['madrid' 'spain' 'tallinn' 'estonia'], predicted=estonia
question=['madrid' 'spain' 'tashkent' 'uzbekistan'], predicted=uzbekistan
question=['madrid' 'spain' 'tehran' 'iran'], predicted=iran
question=['managua' 'nicaragua' 'manama' 'bahrain'], predicted=bahrain
question=['managua' 'nicaragua' 'manila' 'philippines'], predicted=philippines
question=['managua' 'nicaragua' 'mogadishu' 'somalia'], predicted=somalia
question=['managua' 'nicaragua' 'montevideo' 'uruguay'], predicted=uruguay
question=['managua' 'nicaragua' 'moscow' 'russia'], predicted=russia
question=['managua' 'nicaragua' 'nuuk' 'greenland'], predicted=greenland
question=['managua' 'nicaragua' 'oslo' 'norway'], predicted=norway
question=['managua' 'nicaragua' 'ottawa' 'canada'], predicted=canada
question=['managua' 'nicaragua' 'paris' 'france'], predicted=france
question=['managua' 'nicaragua' 'podgorica' 'montenegro'], predicted=montenegro
question=['managua' 'nicaragua' 'quito' 'ecuador'], predicted=ecuador
question=['managua' 'nicaragua' 'rome' 'italy'], predicted=italy
question=['managua' 'nicaragua' 'santiago' 'chile'], predicted=chile
question=['managua' 'nicaragua' 'skopje' 'macedonia'], predicted=macedonia
question=['managua' 'nicaragua' 'sofia' 'bulgaria'], predicted=bulgaria
question=['managua' 'nicaragua' 'stockholm' 'sweden'], predicted=sweden
question=['managua' 'nicaragua' 'suva' 'fiji'], predicted=fiji
question=['managua' 'nicaragua' 'taipei' 'taiwan'], predicted=taiwan
question=['managua' 'nicaragua' 'tallinn' 'estonia'], predicted=estonia
question=['managua' 'nicaragua' 'tegucigalpa' 'honduras'], predicted=honduras
question=['managua' 'nicaragua' 'tehran' 'iran'], predicted=iran
question=['managua' 'nicaragua' 'tokyo' 'japan'], predicted=japan
question=['manama' 'bahrain' 'manila' 'philippines'], predicted=philippines
question=['manama' 'bahrain' 'minsk' 'belarus'], predicted=belarus
question=['manama' 'bahrain' 'monrovia' 'liberia'], predicted=liberia
question=['manama' 'bahrain' 'montevideo' 'uruguay'], predicted=uruguay
question=['manama' 'bahrain' 'moscow' 'russia'], predicted=russia
question=['manama' 'bahrain' 'nairobi' 'kenya'], predicted=kenya
question=['manama' 'bahrain' 'nassau' 'bahamas'], predicted=bahamas
question=['manama' 'bahrain' 'nicosia' 'cyprus'], predicted=cyprus
question=['manama' 'bahrain' 'oslo' 'norway'], predicted=norway
question=['manama' 'bahrain' 'ottawa' 'canada'], predicted=canada
question=['manama' 'bahrain' 'paris' 'france'], predicted=france
question=['manama' 'bahrain' 'podgorica' 'montenegro'], predicted=montenegro
question=['manama' 'bahrain' 'quito' 'ecuador'], predicted=ecuador
question=['manama' 'bahrain' 'riga' 'latvia'], predicted=latvia
question=['manama' 'bahrain' 'santiago' 'chile'], predicted=chile
question=['manama' 'bahrain' 'skopje' 'macedonia'], predicted=macedonia
question=['manama' 'bahrain' 'sofia' 'bulgaria'], predicted=bulgaria
question=['manama' 'bahrain' 'stockholm' 'sweden'], predicted=sweden
question=['manama' 'bahrain' 'suva' 'fiji'], predicted=fiji
question=['manama' 'bahrain' 'taipei' 'taiwan'], predicted=taiwan
question=['manama' 'bahrain' 'tallinn' 'estonia'], predicted=estonia
question=['manama' 'bahrain' 'tehran' 'iran'], predicted=iran
question=['manama' 'bahrain' 'tokyo' 'japan'], predicted=japan
question=['manila' 'philippines' 'minsk' 'belarus'], predicted=belarus
question=['manila' 'philippines' 'moscow' 'russia'], predicted=russia
question=['manila' 'philippines' 'nairobi' 'kenya'], predicted=kenya
question=['manila' 'philippines' 'nuuk' 'greenland'], predicted=greenland
question=['manila' 'philippines' 'oslo' 'norway'], predicted=norway
question=['manila' 'philippines' 'ottawa' 'canada'], predicted=canada
question=['manila' 'philippines' 'paris' 'france'], predicted=france
question=['manila' 'philippines' 'quito' 'ecuador'], predicted=ecuador
question=['manila' 'philippines' 'riga' 'latvia'], predicted=latvia
question=['manila' 'philippines' 'rome' 'italy'], predicted=italy
question=['manila' 'philippines' 'stockholm' 'sweden'], predicted=sweden
question=['manila' 'philippines' 'suva' 'fiji'], predicted=fiji
question=['manila' 'philippines' 'taipei' 'taiwan'], predicted=taiwan
question=['manila' 'philippines' 'tallinn' 'estonia'], predicted=estonia
question=['manila' 'philippines' 'tehran' 'iran'], predicted=iran
question=['manila' 'philippines' 'tokyo' 'japan'], predicted=japan
question=['maputo' 'mozambique' 'minsk' 'belarus'], predicted=belarus
question=['maputo' 'mozambique' 'mogadishu' 'somalia'], predicted=somalia
question=['maputo' 'mozambique' 'monrovia' 'liberia'], predicted=liberia
question=['maputo' 'mozambique' 'nouakchott' 'mauritania'], predicted=mauritania
question=['maputo' 'mozambique' 'nuuk' 'greenland'], predicted=greenland
